SENTENCE_ID,SENTENCE,NUMBER_WORDS_SENTENCE
1-1,The intense  interest  aroused  in  the  public  by  what  was  known  at  the  time  as  'The  Styles  Case'  has  now  somewhat  subsided. ,22
1-2,"Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. ",31
1-3,"This,  we  trust,  will  effectually  silence  the  sensational  rumours  which  still  persist. ",12
1-4,I  will  therefore  briefly  set  down  the  circumstances  which  led  to  my  being  connected  with  the  affair. ,17
1-5,"I  had  been  invalided  home  from  the  Front;  and,  after  spending  some  months  in  a  rather  depressing  Convalescent  Home,  was  given  a  month's  sick  leave. ",25
1-6,"Having  no  near  relations  or  friends,  I  was  trying  to  make  up  my  mind  what  to  do,  when  I  ran  across  John  Cavendish. ",23
1-7,I  had  seen  very  little  of  him  for  some  years. ,10
1-8,"Indeed,  I  had  never  known  him  particularly  well. ",8
1-9,"He  was  a  good  fifteen  years  my  senior,  for  one  thing,  though  he  hardly  looked  his  forty-five  years. ",18
1-10,"As  a  boy,  though,  I  had  often  stayed  at  Styles,  his  mother's  place  in  Essex. ",15
1-11,"We  had  a  good  yarn  about  old  times,  and  it  ended  in  his  inviting  me  down  to  Styles  to  spend  my  leave  there. ",23
1-12,"The  mater  will  be  delighted  to  see  you  again...after  all  those  years,  he  added. ",14
1-13,Your  mother  keeps  well?  I  asked. ,6
1-14,"Oh,  yes. ",2
1-15,I  suppose  you  know  that  she  has  married  again? ,9
1-16,I  am  afraid  I  showed  my  surprise  rather  plainly. ,9
1-17,"Mr.s.  Cavendish,  who  had  married  John's  father  when  he  was  a  widower  with  two  sons,  had  been  a  handsome  woman  of  middle-age  as  I  remembered  her. ",26
1-18,She  certainly  could  not  be  a  day  less  than  seventy  now. ,11
1-19,"I  recalled  her  as  an  energetic,  autocratic  personality,  somewhat  inclined  to  charitable  and  social  notoriety,  with  a  fondness  for  opening  bazaars  and  playing  the  Lady  Bountiful. ",26
1-20,"She  was  a  most  generous  woman,  and  possessed  a  considerable  fortune  of  her  own. ",14
1-21,"Their  country-place,  Styles  Court,  had  been  purchased  by  mr  Cavendish  early  in  their  married  life. ",15
1-22,"He  had  been  completely  under  his  wife's  ascendancy,  so  much  so  that,  on  dying,  he  left  the  place  to  her  for  her  lifetime,  as  well  as  the  larger  part  of  his  income;  an  arrangement  that  was  distinctly  unfair  to  his  two  sons. ",42
1-23,"Their  step-mother,  however,  had  always  been  most  generous  to  them;  indeed,  they  were  so  young  at  the  time  of  their  father's  remarriage  that  they  always  thought  of  her  as  their  own  mother. ",32
1-24,"Lawrence,  the  younger,  had  been  a  delicate  youth. ",8
